Time,110k Dis,110k For,LVDT 1VE,LVDT 2VW,SP2VBL,avg lvdt's,avg lvdt's2,110k For2
+000:00:42,0.00004,-0.000101,0.00004,0.00004,0.000003,0.00004,0.00004,0.000101
+000:00:42,0.000183,-0.000318,0.000183,0.000163,0.000071,0.000173,0.000173,0.000318
+000:00:42,0.000381,-0.001215,0.000341,0.000229,0.000195,0.000285,0.000285,0.001215
+000:00:43,0.000437,-0.003824,0.000314,0.000032,0.000213,0.000173,0.000173,0.003824
+000:00:43,0.000217,-0.007823,0.000171,-0.000258,0.00012,-0.0000435,-0.0000435,0.007823
+000:00:43,-0.000103,-0.012573,0.000166,-0.000283,-0.000045,-0.0000585,-0.0000585,0.012573
+000:00:43,-0.00032,-0.018267,0.00035,-0.000034,-0.000329,0.000158,0.000158,0.018267
+000:00:43,-0.000473,-0.024711,0.000601,0.000228,-0.000631,0.0004145,0.0004145,0.024711
+000:00:43,-0.000614,-0.0313,0.000694,0.000217,-0.00083,0.0004555,0.0004555,0.0313
+000:00:43,-0.000675,-0.037331,0.000597,-0.000008,-0.000922,0.0002945,0.0002945,0.037331
+000:00:43,-0.00058,-0.041977,0.000567,-0.000031,-0.000966,0.000268,0.000268,0.041977
+000:00:43,-0.000411,-0.045984,0.000724,0.000278,-0.000984,0.000501,0.000501,0.045984
+000:00:43,-0.000271,-0.050062,0.000967,0.000695,-0.000871,0.000831,0.000831,0.050062
+000:00:44,-0.000118,-0.052091,0.001085,0.000806,-0.000629,0.0009455,0.0009455,0.052091
+000:00:44,0.00011,-0.051857,0.001034,0.000491,-0.000448,0.0007625,0.0007625,0.051857
+000:00:44,0.000347,-0.051718,0.000978,0.000209,-0.000354,0.0005935,0.0005935,0.051718
+000:00:44,0.000512,-0.053159,0.001024,0.000293,-0.000296,0.0006585,0.0006585,0.053159
+000:00:44,0.000637,-0.056604,0.001173,0.000645,-0.000313,0.000909,0.000909,0.056604
+000:00:44,0.00145,-0.062543,0.001194,0.000879,-0.000351,0.0010365,0.0010365,0.062543
+000:00:44,0.003322,-0.071434,0.001011,0.000898,-0.000249,0.0009545,0.0009545,0.071434
+000:00:44,0.004919,-0.080941,0.000912,0.001059,-0.000038,0.0009855,0.0009855,0.080941
+000:00:44,0.005367,-0.089838,0.000997,0.001419,0.000076,0.001208,0.001208,0.089838
+000:00:44,0.005001,-0.099356,0.001092,0.001657,0.000088,0.0013745,0.0013745,0.099356
+000:00:45,0.004164,-0.109493,0.001025,0.001575,-0.000008,0.0013,0.0013,0.109493
+000:00:45,0.003111,-0.118889,0.000899,0.001436,-0.000292,0.0011675,0.0011675,0.118889
+000:00:45,0.002025,-0.127236,0.000927,0.001554,-0.000627,0.0012405,0.0012405,0.127236
+000:00:45,0.001025,-0.135908,0.001072,0.001805,-0.00083,0.0014385,0.0014385,0.135908
+000:00:45,0.00018,-0.145075,0.001159,0.001761,-0.000876,0.00146,0.00146,0.145075
